names,R,G,B,Area,Label
A,209,101,95,215111,1
A1,210,103,97,215111,1
A2,206,101,96,215111,1
A3,207,104,97,215111,1
A4,209,100,95,215111,1
Annie,150,11,30,97584,3
Annie1,168,50,60,97584,3
Annie2,158,20,36,97584,3
Annie3,149,10,29,97584,3
Annie4,150,11,30,97584,3
Archie,146,9,29,76630,4
Archie1,146,8,28,76630,4
Archie2,147,10,30,76630,4
Archie3,146,9,29,76630,4
Archie4,141,6,27,76630,4
B,207,101,94,126515,1
B1,208,102,95,126515,1
B2,206,100,93,126515,1
B3,206,100,93,126515,1
B4,208,101,95,126515,1
Bag,96,2,11,28781,4
Bag1,94,2,10,28781,4
Bag2,98,2,12,28781,4
Bag3,95,1,10,28781,4
Bag4,98,3,12,28781,4
Bianco,155,19,34,72056,3
Bianco1,163,28,41,72056,3
Bianco2,159,27,39,72056,3
Bianco3,155,20,34,72056,3
Bianco4,155,20,34,72056,3
Bo,155,12,28,50801,4
Bo1,166,46,55,50801,4
Bo2,153,9,26,50801,4
Bo3,154,12,28,50801,4
Bo4,166,40,51,50801,4
Buster,142,3,23,70059,4
Buster1,134,0,20,70059,4
Buster2,140,3,22,70059,4
Buster3,146,5,25,70059,4
Buster4,142,4,22,70059,4
C,196,67,68,137405,1
C1,197,64,66,137405,1
C2,195,67,68,137405,1
C3,196,65,66,137405,1
C4,197,68,69,137405,1
Callie,164,39,51,53055,4
Callie1,167,29,42,53055,4
Callie2,167,44,56,53055,4
Callie3,171,48,60,53055,4
Callie4,167,30,43,53055,4
Cleo,141,4,26,37275,3
Cleo1,144,6,28,37275,3
Cleo2,140,3,25,37275,3
Cleo3,141,4,25,37275,3
Cleo4,141,4,27,37275,3
D,203,115,106,144824,1
D1,204,115,106,144824,1
D2,203,115,106,144824,1
D3,203,115,106,144824,1
D4,204,115,106,144824,1
Daisy,118,9,25,80332,4
Daisy1,124,11,28,80332,4
Daisy2,124,9,26,80332,4
Daisy3,115,6,23,80332,4
Daisy4,120,10,27,80332,4
Floyd,189,54,57,54167,1
Floyd1,188,52,56,54167,1
Floyd2,190,47,52,54167,1
Floyd3,188,44,49,54167,1
Floyd4,190,55,58,54167,1
Gigha,173,28,39,57921,3
Gigha1,174,28,39,57921,3
Gigha2,171,28,38,57921,3
Gigha3,173,28,39,57921,3
Gigha4,173,28,39,57921,3
Gracie,189,61,63,90490,1
Gracie1,190,56,60,90490,1
Gracie2,189,62,64,90490,1
Gracie3,188,66,67,90490,1
Gracie4,189,61,63,90490,1
Gus,166,29,39,54982,3
Gus1,170,36,44,54982,3
Gus2,165,26,37,54982,3
Gus3,167,30,40,54982,3
Gus4,167,30,39,54982,3
Isla,179,35,45,89896,3
Isla1,180,35,46,89896,3
Isla2,178,34,45,89896,3
Isla3,181,36,47,89896,3
Isla4,181,36,47,89896,3
Juno,188,55,60,86175,1
Juno1,188,52,57,86175,1
Juno2,188,52,58,86175,1
Juno3,186,48,54,86175,1
Juno4,189,55,60,86175,1
Lady,165,34,47,67675,3
Lady1,164,26,41,67675,3
Lady2,167,38,50,67675,3
Lady3,164,29,43,67675,3
Lady4,166,33,46,67675,3
Lester,146,4,23,42811,4
Lester1,147,5,24,42811,4
Lester2,145,4,23,42811,4
Lester3,145,4,23,42811,4
Lester4,148,5,25,42811,4
Lola,131,12,28,43283,4
